stat;year;jan;feb;mar;avr;may;jun;jul;aug;sept;oct;nov;dec
24959;1893;-42.3;-37.3;-22.0;-4.8;8.2;17.4;21.3;12.7;6.1;-6.9;-27.3;-38.2
24959;1894;-44.2;-38.3;-18.8;-4.9;5.6;13.6;21.7;14.6;5.9;-10.0;-27.8;-36.9
24959;1895;-49.8;-37.3;-24.9;-9.3;3.0;18.0;19.8;15.3;7.6;-8.3;-30.1;-37.2
24959;1896;-40.3;-32.8;-21.9;-13.2;3.5;15.0;18.5;16.6;7.9;-5.5;-26.8;-42.3
24959;1897;-49.4;-33.8;-23.2;-6.2;7.1;15.8;19.9;15.1;5.5;-6.5;-23.4;-34.7
24959;1898;-42.9;-29.5;-25.9;-11.7;6.0;14.7;17.0;15.7;4.1;-9.6;-32.0;-41.2
24959;1899;-42.4;-35.4;-22.1;-10.4;4.2;13.1;18.9;17.9;7.1;-4.7;-30.0;-45.3
24959;1900;-51.4;-43.7;-22.0;-6.1;6.1;12.5;16.4;14.2;8.3;-7.3;-29.0;-39.5
24959;1901;-44.4;-36.2;-19.0;-5.3;5.4;15.8;18.4;15.4;5.7;-9.5;-27.2;-38.8
24959;1902;-48.6;-34.2;-24.2;-9.3;2.3;16.2;18.5;13.9;5.3;-10.2;-31.5;-37.9
24959;1903;-37.4;-27.5;-18.9;-11.2;6.2;16.1;18.7;14.3;5.8;-10.1;-22.0;-44.0
24959;1904;-38.7;-37.2;-21.0;-5.5;3.4;11.9;16.8;13.1;5.5;-10.3;-23.3;-37.3
24959;1905;-35.8;-37.5;-21.7;-10.4;3.5;14.3;16.7;13.0;6.0;-10.6;-30.4;-41.9
24959;1906;-41.2;-36.6;-20.3;-7.3;6.2;18.3;18.8;16.2;7.0;-6.4;-30.2;-31.6
24959;1907;-45.7;-34.0;-23.2;-5.9;5.8;14.3;18.6;14.3;6.3;-5.4;-26.3;-46.7
24959;1908;-46.6;-33.3;-23.6;-7.3;6.2;17.0;;;;;-27.1;-43.0
24959;1909;-50.9;-38.7;-23.1;-6.9;;13.2;18.5;;;;-32.3;-34.7
24959;1910;-40.0;-33.8;-20.4;-6.9;5.0;15.8;22.1;16.7;8.1;-4.7;-27.3;-42.2
24959;1911;-44.8;-32.3;-21.3;-6.3;4.1;12.7;15.4;16.9;2.6;-5.8;-25.2;-41.5
24959;1912;-39.3;-38.8;-25.4;-7.8;4.8;16.7;16.8;13.5;5.3;-10.7;-29.2;-45.9
24959;1913;-42.5;-37.5;-20.2;-10.6;5.2;14.4;;15.1;6.5;-9.3;-30.5;-38.4
24959;1914;-41.3;-30.6;-26.4;-7.8;4.3;18.3;19.9;15.1;7.3;-5.9;-31.5;-32.8
24959;1915;-46.6;-36.8;-20.0;-8.4;7.0;14.2;17.4;9.9;3.6;-10.6;-28.7;-44.5
24959;1916;-44.4;-37.2;-20.6;-9.7;6.1;16.2;19.8;16.0;4.0;-4.7;-25.7;-40.8
24959;1917;-40.1;-33.6;-22.5;-7.4;5.3;16.2;19.7;14.5;7.1;-7.9;-25.9;
24959;1918;-40.2;-38.3;-20.0;-7.6;7.2;15.1;16.0;14.3;5.8;-9.9;-25.8;-44.2
24959;1919;;;;;;;;15.2;7.6;-2.9;-25.9;-37.5
24959;1920;-36.4;-29.5;-18.5;-4.3;7.3;13.4;20.5;14.8;5.0;-8.9;-26.4;-37.9
24959;1921;-40.4;-27.2;-24.6;-9.0;4.0;16.4;16.6;14.8;7.8;-7.5;-21.0;-46.8
24959;1922;-46.6;-39.4;-26.5;-9.1;4.6;15.3;17.8;12.9;5.6;-9.7;-28.7;-33.4
24959;1923;-46.3;-33.8;-18.1;-7.8;4.0;13.5;16.7;13.3;3.8;-9.5;-27.7;-39.2
24959;1924;-45.0;-36.3;-22.9;-8.1;4.4;15.0;16.1;16.4;7.8;-9.9;-20.0;-31.4
24959;1925;-33.9;-41.2;-24.5;-8.2;6.0;13.8;19.6;14.8;6.4;-6.2;-24.8;-36.6
24959;1926;-39.8;-36.4;-19.0;-8.3;5.8;11.5;19.5;16.4;8.0;-8.6;-25.7;-37.0
24959;1927;-45.7;-39.9;-23.5;-6.1;6.4;15.8;17.2;13.4;8.2;-4.3;-20.9;-38.6
24959;1928;-43.3;-36.3;-20.9;-5.7;5.2;16.0;18.1;16.3;4.9;-6.5;-26.3;-36.6
24959;1929;-47.7;-37.2;-22.2;-8.9;7.5;16.1;18.6;16.9;4.3;-9.0;-33.7;-43.4
24959;1930;-40.2;-36.4;-14.6;-7.8;4.4;16.9;19.4;15.4;7.0;-8.6;-25.7;-38.4
24959;1931;-51.1;-44.6;-21.6;-11.0;7.7;17.1;19.0;13.7;8.6;-5.6;-25.8;-34.3
24959;1932;-34.9;-34.4;-20.8;-7.9;5.1;17.2;20.9;15.3;8.1;-8.4;-30.9;-39.6
24959;1933;-40.6;-39.0;-27.5;-9.4;3.7;17.5;17.6;16.7;6.6;-4.3;-22.4;-40.7
24959;1934;-40.1;-27.6;-22.0;-9.7;8.2;17.7;21.0;14.8;5.5;-8.0;-26.5;-37.6
24959;1935;-42.4;-32.7;-27.1;-6.3;6.6;16.0;21.7;15.1;6.2;-8.6;-32.1;-39.1
24959;1936;-46.0;-36.2;-23.0;-4.5;9.7;14.1;19.8;16.7;8.3;-8.2;-29.9;-34.9
24959;1937;-42.2;-34.1;-26.5;-8.0;6.7;16.4;18.5;14.0;6.0;-7.0;-30.7;-39.1
24959;1938;-41.1;-37.2;-21.3;-4.1;7.2;16.4;19.2;14.2;8.5;-8.4;-21.5;-43.8
24959;1939;-46.3;-34.3;-20.7;-6.4;7.3;15.2;17.0;17.0;7.2;-8.1;-27.1;-35.1
24959;1940;-38.6;-34.7;-20.3;-6.3;4.8;16.0;19.5;12.8;4.3;-12.1;-34.7;-39.2
24959;1941;-44.1;-42.6;-26.4;-5.8;7.2;17.0;21.0;14.5;4.5;-9.0;-28.7;-45.8
24959;1942;-40.7;-37.8;-26.2;-8.1;5.5;14.4;19.9;13.8;6.0;-10.0;-26.6;-35.5
24959;1943;-41.5;-34.8;-15.5;-2.6;7.4;13.5;17.3;14.7;7.7;-3.9;-28.8;-41.0
24959;1944;-42.0;-34.7;-20.4;-7.7;7.2;14.8;18.5;16.4;7.1;-7.9;-29.6;-39.6
24959;1945;-45.9;-38.7;-21.1;-2.5;7.0;16.1;19.9;17.1;6.6;-5.9;-25.3;-43.6
24959;1946;-45.9;-42.3;-26.7;-5.3;3.6;14.3;20.3;14.0;3.6;-8.2;-28.7;-39.6
24959;1947;-44.1;-32.3;-22.3;-6.0;5.0;16.6;20.1;15.0;6.7;-2.5;-27.9;-42.9
24959;1948;-41.8;-38.0;-19.6;-5.6;6.6;16.1;20.5;17.5;6.5;-4.3;-23.9;-39.4
24959;1949;-40.0;-36.0;-24.2;-6.4;7.2;17.8;19.2;16.0;9.0;-6.7;-32.1;-43.9
24959;1950;-42.8;-36.3;-22.5;-6.1;5.9;15.0;17.2;13.2;4.0;-7.6;-32.4;-46.0
24959;1951;-44.9;-39.8;-24.3;-9.4;5.7;13.7;17.6;15.6;8.2;-4.1;-24.7;-33.3
24959;1952;-48.9;-40.9;-20.1;-7.0;4.5;14.2;21.7;16.5;6.5;-10.5;-37.5;-43.3
24959;1953;-41.2;-34.6;-20.6;-4.5;9.4;15.1;16.8;13.9;5.8;-7.7;-31.3;-38.6
24959;1954;-42.9;-33.1;-24.6;-6.1;3.5;16.6;20.7;16.5;4.7;-9.1;-32.1;-41.0
24959;1955;-40.1;-37.5;-26.7;-9.2;7.9;15.7;16.9;14.6;5.4;-6.7;-27.7;-44.5
24959;1956;-43.8;-37.8;-25.2;-10.5;3.2;16.3;19.5;14.5;6.7;-11.5;-26.5;-36.6
24959;1957;-36.9;-38.9;-22.7;-6.3;6.6;15.2;18.7;15.5;4.3;-9.8;-29.6;-38.1
24959;1958;-44.3;-36.0;-25.7;-7.7;5.4;12.4;17.7;14.9;6.7;-11.0;-29.6;-41.9
24959;1959;-45.1;-33.4;-16.3;-8.5;6.2;18.4;16.0;17.8;8.3;-7.7;-23.4;-38.2
24959;1960;-44.9;-36.1;-25.3;-9.7;7.0;16.5;18.7;13.7;5.9;-10.7;-29.9;-42.2
24959;1961;-46.7;-34.9;-23.1;-7.9;4.8;15.8;18.1;15.9;7.6;-7.9;-26.0;-34.3
24959;1962;-36.9;-31.0;-22.5;-7.3;5.9;14.2;18.9;16.1;4.8;-7.4;-29.5;-39.3
24959;1963;-32.7;-32.7;-20.5;-9.1;3.2;15.0;18.5;15.8;6.5;-7.4;-23.9;-36.7
24959;1964;-37.4;-36.5;-21.7;-9.2;4.4;14.4;18.9;13.8;3.8;-9.7;-30.1;-42.6
24959;1965;-43.8;-38.3;-23.7;-6.7;5.3;13.4;18.4;15.0;6.9;-8.0;-31.1;-46.3
24959;1966;-42.1;-42.4;-24.0;-7.4;6.2;16.6;16.5;14.2;4.5;-8.7;-31.8;-38.0
24959;1967;-41.4;-37.1;-24.0;-6.8;5.8;16.5;19.2;13.6;4.4;-5.4;-29.0;-40.0
24959;1968;-44.4;-31.4;-16.8;-0.2;7.8;15.6;18.3;14.4;6.0;-7.3;-31.1;-40.6
24959;1969;-41.9;-44.1;-26.1;-9.2;6.5;14.5;18.4;18.0;3.1;-7.6;-31.3;-42.7
24959;1970;-42.1;-35.6;-22.0;-7.1;3.9;13.5;21.9;13.2;7.3;-12.0;-28.8;-42.0
24959;1971;-43.2;-37.6;-21.2;-7.5;8.7;16.4;19.6;14.8;6.9;-6.0;-27.1;-39.2
24959;1972;-47.1;-37.6;-22.4;-4.7;5.2;13.2;18.6;12.8;6.2;-6.5;-33.2;-39.0
24959;1973;-37.0;-34.9;-22.2;-9.3;8.8;16.9;21.1;16.8;7.8;-7.9;-33.7;-40.9
24959;1974;-38.5;-38.4;-23.6;-5.0;8.7;13.9;18.9;14.7;5.8;-10.1;-29.3;-42.3
24959;1975;-38.5;-38.2;-16.8;-3.3;9.4;18.1;17.0;13.3;5.4;-6.9;-27.2;-32.6
24959;1976;-39.3;-36.9;-22.5;-2.4;6.3;15.0;17.1;15.8;6.5;-9.0;-31.5;-39.9
24959;1977;-41.1;-38.7;-23.3;-6.8;8.9;16.7;16.9;13.7;3.9;-12.3;-31.2;-38.9
24959;1978;-44.6;-34.4;-20.1;-1.8;5.2;15.5;16.9;15.9;5.1;-7.8;-22.0;-42.2
24959;1979;-43.7;-36.6;-25.9;-6.6;7.2;14.2;16.1;13.7;4.6;-12.8;-33.4;-34.6
24959;1980;-36.7;-35.1;-24.4;-8.7;5.4;15.0;21.8;16.8;4.8;-8.4;-30.5;-34.9
24959;1981;-36.8;-34.1;-23.1;-5.0;7.2;16.1;19.3;14.5;3.9;-8.6;-30.4;-36.5
24959;1982;-43.1;-34.8;-23.6;-5.0;7.5;13.4;19.4;12.7;5.6;-13.5;-36.6;-41.3
24959;1983;-40.6;-37.7;-18.0;-6.1;7.9;16.0;19.0;17.4;10.9;-9.3;-20.8;-37.9
24959;1984;-35.8;-36.0;-21.5;-4.2;9.8;14.1;19.1;12.8;4.0;-11.8;-30.0;-40.0
24959;1985;-43.7;-34.0;-21.6;-4.1;7.5;15.8;18.1;14.9;6.6;-8.5;-26.1;-38.5
24959;1986;-41.0;-34.4;-20.5;-6.7;4.8;16.9;19.9;16.4;6.3;-6.6;-29.3;-39.1
24959;1987;-45.0;-33.6;-22.5;-7.6;3.0;14.5;18.6;15.7;4.1;-9.9;-31.8;-43.1
24959;1988;-41.3;-34.1;-20.9;-4.9;8.4;16.9;21.2;13.3;7.2;-4.7;-24.3;-31.9
24959;1989;-39.2;-29.5;-14.6;-6.3;7.0;15.4;18.1;13.8;5.4;-11.3;-27.7;-34.3
24959;1990;-42.4;-35.9;-12.0;-5.3;9.8;17.4;17.1;16.8;4.4;-4.3;-28.3;-34.9
24959;1991;-32.0;-35.8;-22.4;-4.3;6.9;14.2;20.9;16.8;5.0;-8.6;-26.9;-34.5
24959;1992;-39.5;-32.3;-20.9;-3.6;7.6;17.0;18.8;14.2;6.5;-5.3;-32.0;-35.4
24959;1993;-32.4;-32.1;-21.3;-9.4;6.6;15.9;19.7;14.8;6.0;-7.9;-28.4;-41.6
24959;1994;-45.0;-34.2;-19.9;-5.3;8.0;14.4;17.4;14.4;7.2;-4.7;-26.5;-40.4
24959;1995;-35.8;-27.4;-22.5;-6.2;6.6;18.4;18.4;15.3;5.8;-3.8;-26.3;-33.8
24959;1996;-38.4;-32.1;-21.9;-5.2;7.1;17.2;18.9;13.3;5.7;-6.2;-25.0;-39.3
24959;1997;-37.1;-32.1;-22.0;-2.6;9.1;15.2;20.0;17.3;4.9;-5.5;-24.9;-40.0
24959;1998;-39.3;-30.3;-21.1;-6.0;5.0;20.2;22.0;18.2;5.1;-9.7;-28.8;-39.7
24959;1999;-33.3;-34.0;-25.3;-5.8;7.5;16.7;20.0;13.2;6.4;-9.1;-28.7;-34.9
24959;2000;-36.9;-32.5;-20.6;-2.6;7.9;16.2;19.0;14.8;5.4;-10.7;-30.2;-39.3
24959;2001;-38.8;-37.5;-19.5;-7.2;8.1;16.1;23.0;14.9;3.5;-7.7;-23.0;-36.2
24959;2002;-36.5;-29.1;-18.3;-3.1;8.3;18.3;19.7;16.7;6.6;-8.1;-25.0;-40.4
24959;2003;-39.3;-33.6;-15.2;-3.9;5.0;14.4;21.5;16.6;7.5;-7.1;-28.2;-34.2
24959;2004;-38.8;-36.6;-20.0;-4.5;6.2;13.7;18.8;13.8;6.9;-11.1;-22.6;-43.8
24959;2005;-39.5;-35.2;-21.1;-0.5;8.6;17.5;18.8;13.9;9.4;-8.8;-20.3;-35.1
24959;2006;-42.9;-35.4;-21.1;-3.7;7.4;17.3;18.7;15.9;7.0;-8.3;-25.4;-35.4
24959;2007;-34.0;-36.5;-18.6;-1.7;9.0;16.4;16.7;16.7;7.0;-4.9;-25.6;-32.5
24959;2008;-37.7;-31.0;-13.2;-5.8;9.7;19.5;20.4;16.7;5.5;-3.7;-26.5;-40.0
24959;2009;-34.0;-37.2;-18.8;-3.3;7.6;19.5;20.6;15.2;7.8;-5.3;-28.7;-36.1
24959;2010;-36.7;-33.5;-20.4;-4.7;9.7;16.8;21.9;16.2;5.4;-7.8;-22.7;-37.1
24959;2011;-36.5;-35.1;-15.4;-2.1;9.5;16.1;22.5;17.4;3.8;-5.1;-26.5;-36.1
24959;2012;-34.6;-33.4;-22.3;-4.4;9.6;19.3;21.0;14.5;8.2;-7.4;-28.6;-35.5
24959;2013;-40.2;-33.4;-20.0;-3.0;10.2;17.6;18.6;16.0;6.0;-5.2;-24.8;-30.2
24959;2014;-41.4;-32.0;-16.2;-0.1;9.8;17.3;20.0;16.2;5.6;-8.2;-25.3;-38.8
24959;2015;-33.8;-27.7;-16.3;-5.4;7.3;15.5;20.4;17.1;5.6;-7.1;-24.6;-34.3
24959;2016;-34.7;-35.0;-14.8;-0.1;7.6;16.0;18.1;13.4;6.9;-7.4;-26.5;-36.9
24959;2017;-33.8;-31.1;-10.8;-0.6;6.6;18.7;19.4;17.6;7.5;-6.9;-29.0;-38.4
24959;2018;-37.1;-32.9;-20.7;-2.5;9.7;17.3;20.2;16.8;6.2;-4.0;-23.1;-33.5
24959;2019;-35.7;-30.4;-17.6;-1.1;9.0;19.2;19.3;15.8;7.0;-4.5;-23.8;-38.2
