day;sunrise;sunset;true_noon;daylight_hours;month;day_int;month_int
Пт, 12 марта ;6:48 ;18:13 ;12:30 ;11:25:21 ;Mar;12;3
Сб, 13 марта ;6:44 ;18:16 ;12:30 ;11:31:18 ;Mar;13;3
Вс, 14 марта ;6:41 ;18:18 ;12:30 ;11:37:16 ;Mar;14;3
Пн, 15 марта ;6:38 ;18:21 ;12:30 ;11:43:13 ;Mar;15;3
Вт, 16 марта ;6:35 ;18:24 ;12:29 ;11:49:11 ;Mar;16;3
Ср, 17 марта ;6:31 ;18:27 ;12:29 ;11:55:08 ;Mar;17;3
Чт, 18 марта ;6:28 ;18:29 ;12:29 ;12:01:06 ;Mar;18;3
Пт, 19 марта ;6:25 ;18:32 ;12:28 ;12:07:03 ;Mar;19;3
Сб, 20 марта ;6:22 ;18:35 ;12:28 ;12:13:00 ;Mar;20;3
Вс, 21 марта ;6:18 ;18:37 ;12:28 ;12:18:58 ;Mar;21;3
Пн, 22 марта ;6:15 ;18:40 ;12:27 ;12:24:55 ;Mar;22;3
Вт, 23 марта ;6:12 ;18:43 ;12:27 ;12:30:52 ;Mar;23;3
Ср, 24 марта ;6:08 ;18:45 ;12:27 ;12:36:50 ;Mar;24;3
Чт, 25 марта ;6:05 ;18:48 ;12:27 ;12:42:48 ;Mar;25;3
Пт, 26 марта ;6:02 ;18:51 ;12:26 ;12:48:44 ;Mar;26;3
Сб, 27 марта ;5:59 ;18:53 ;12:26 ;12:54:42 ;Mar;27;3
Вс, 28 марта ;5:55 ;18:56 ;12:26 ;13:00:39 ;Mar;28;3
Пн, 29 марта ;5:52 ;18:59 ;12:25 ;13:06:37 ;Mar;29;3
Вт, 30 марта ;5:49 ;19:01 ;12:25 ;13:12:34 ;Mar;30;3
Ср, 31 марта ;5:46 ;19:04 ;12:25 ;13:18:31 ;Mar;31;3
Чт, 1 апреля ;5:42 ;19:07 ;12:24 ;13:24:29 ;Apr;1;4
Пт, 2 апреля ;5:39 ;19:09 ;12:24 ;13:30:26 ;Apr;2;4
Сб, 3 апреля ;5:36 ;19:12 ;12:24 ;13:36:23 ;Apr;3;4
Вс, 4 апреля ;5:32 ;19:15 ;12:24 ;13:42:21 ;Apr;4;4
Пн, 5 апреля ;5:29 ;19:17 ;12:23 ;13:48:19 ;Apr;5;4
Вт, 6 апреля ;5:26 ;19:20 ;12:23 ;13:54:17 ;Apr;6;4
Ср, 7 апреля ;5:23 ;19:23 ;12:23 ;14:00:13 ;Apr;7;4
Чт, 8 апреля ;5:19 ;19:26 ;12:22 ;14:06:11 ;Apr;8;4
Пт, 9 апреля ;5:16 ;19:28 ;12:22 ;14:12:09 ;Apr;9;4
Сб, 10 апреля ;5:13 ;19:31 ;12:22 ;14:18:06 ;Apr;10;4
Вс, 11 апреля ;5:10 ;19:34 ;12:22 ;14:24:03 ;Apr;11;4
Пн, 12 апреля ;5:06 ;19:36 ;12:21 ;14:30:01 ;Apr;12;4
Вт, 13 апреля ;5:03 ;19:39 ;12:21 ;14:35:58 ;Apr;13;4
Ср, 14 апреля ;5:00 ;19:42 ;12:21 ;14:41:55 ;Apr;14;4
Чт, 15 апреля ;4:57 ;19:45 ;12:21 ;14:47:52 ;Apr;15;4
Пт, 16 апреля ;4:53 ;19:47 ;12:20 ;14:53:49 ;Apr;16;4
Сб, 17 апреля ;4:50 ;19:50 ;12:20 ;14:59:45 ;Apr;17;4
Вс, 18 апреля ;4:47 ;19:53 ;12:20 ;15:05:42 ;Apr;18;4
Пн, 19 апреля ;4:44 ;19:56 ;12:20 ;15:11:39 ;Apr;19;4
Вт, 20 апреля ;4:41 ;19:58 ;12:20 ;15:17:35 ;Apr;20;4
Ср, 21 апреля ;4:38 ;20:01 ;12:19 ;15:23:31 ;Apr;21;4
Чт, 22 апреля ;4:34 ;20:04 ;12:19 ;15:29:26 ;Apr;22;4
Пт, 23 апреля ;4:31 ;20:07 ;12:19 ;15:35:21 ;Apr;23;4
Сб, 24 апреля ;4:28 ;20:09 ;12:19 ;15:41:17 ;Apr;24;4
Вс, 25 апреля ;4:25 ;20:12 ;12:19 ;15:47:10 ;Apr;25;4
Пн, 26 апреля ;4:22 ;20:15 ;12:18 ;15:53:04 ;Apr;26;4
Вт, 27 апреля ;4:19 ;20:18 ;12:18 ;15:58:58 ;Apr;27;4
Ср, 28 апреля ;4:16 ;20:21 ;12:18 ;16:04:51 ;Apr;28;4
Чт, 29 апреля ;4:13 ;20:23 ;12:18 ;16:10:42 ;Apr;29;4
Пт, 30 апреля ;4:10 ;20:26 ;12:18 ;16:16:34 ;Apr;30;4
Сб, 1 мая ;4:06 ;20:29 ;12:18 ;16:22:24 ;May;1;5
Вс, 2 мая ;4:03 ;20:32 ;12:18 ;16:28:13 ;May;2;5
Пн, 3 мая ;4:00 ;20:34 ;12:17 ;16:34:01 ;May;3;5
Вт, 4 мая ;3:57 ;20:37 ;12:17 ;16:39:49 ;May;4;5
Ср, 5 мая ;3:54 ;20:40 ;12:17 ;16:45:35 ;May;5;5
Чт, 6 мая ;3:52 ;20:43 ;12:17 ;16:51:19 ;May;6;5
Пт, 7 мая ;3:49 ;20:46 ;12:17 ;16:57:03 ;May;7;5
Сб, 8 мая ;3:46 ;20:48 ;12:17 ;17:02:44 ;May;8;5
Вс, 9 мая ;3:43 ;20:51 ;12:17 ;17:08:24 ;May;9;5
Пн, 10 мая ;3:40 ;20:54 ;12:17 ;17:14:03 ;May;10;5
Вт, 11 мая ;3:37 ;20:57 ;12:17 ;17:19:38 ;May;11;5
Ср, 12 мая ;3:34 ;21:00 ;12:17 ;17:25:13 ;May;12;5
Чт, 13 мая ;3:32 ;21:02 ;12:17 ;17:30:44 ;May;13;5
Пт, 14 мая ;3:29 ;21:05 ;12:17 ;17:36:13 ;May;14;5
Сб, 15 мая ;3:26 ;21:08 ;12:17 ;17:41:40 ;May;15;5
Вс, 16 мая ;3:23 ;21:10 ;12:17 ;17:47:03 ;May;16;5
Пн, 17 мая ;3:21 ;21:13 ;12:17 ;17:52:23 ;May;17;5
Вт, 18 мая ;3:18 ;21:16 ;12:17 ;17:57:40 ;May;18;5
Ср, 19 мая ;3:16 ;21:18 ;12:17 ;18:02:54 ;May;19;5
Чт, 20 мая ;3:13 ;21:21 ;12:17 ;18:08:04 ;May;20;5
Пт, 21 мая ;3:11 ;21:24 ;12:17 ;18:13:09 ;May;21;5
Сб, 22 мая ;3:08 ;21:26 ;12:17 ;18:18:11 ;May;22;5
Вс, 23 мая ;3:06 ;21:29 ;12:17 ;18:23:07 ;May;23;5
Пн, 24 мая ;3:03 ;21:31 ;12:17 ;18:28:00 ;May;24;5
Вт, 25 мая ;3:01 ;21:34 ;12:18 ;18:32:47 ;May;25;5
Ср, 26 мая ;2:59 ;21:36 ;12:18 ;18:37:28 ;May;26;5
Чт, 27 мая ;2:57 ;21:39 ;12:18 ;18:42:03 ;May;27;5
Пт, 28 мая ;2:55 ;21:41 ;12:18 ;18:46:32 ;May;28;5
Сб, 29 мая ;2:53 ;21:43 ;12:18 ;18:50:55 ;May;29;5
Вс, 30 мая ;2:51 ;21:46 ;12:18 ;18:55:10 ;May;30;5
Пн, 31 мая ;2:49 ;21:48 ;12:18 ;18:59:19 ;May;31;5
Вт, 1 июня ;2:47 ;21:50 ;12:18 ;19:03:19 ;Jun;1;6
Ср, 2 июня ;2:45 ;21:52 ;12:19 ;19:07:12 ;Jun;2;6
Чт, 3 июня ;2:43 ;21:54 ;12:19 ;19:10:56 ;Jun;3;6
Пт, 4 июня ;2:42 ;21:56 ;12:19 ;19:14:30 ;Jun;4;6
Сб, 5 июня ;2:40 ;21:58 ;12:19 ;19:17:57 ;Jun;5;6
Вс, 6 июня ;2:39 ;22:00 ;12:19 ;19:21:12 ;Jun;6;6
Пн, 7 июня ;2:37 ;22:02 ;12:19 ;19:24:18 ;Jun;7;6
Вт, 8 июня ;2:36 ;22:03 ;12:20 ;19:27:13 ;Jun;8;6
Ср, 9 июня ;2:35 ;22:05 ;12:20 ;19:29:57 ;Jun;9;6
Чт, 10 июня ;2:34 ;22:06 ;12:20 ;19:32:30 ;Jun;10;6
Пт, 11 июня ;2:33 ;22:08 ;12:20 ;19:34:51 ;Jun;11;6
Сб, 12 июня ;2:32 ;22:09 ;12:20 ;19:36:59 ;Jun;12;6
Вс, 13 июня ;2:31 ;22:10 ;12:21 ;19:38:56 ;Jun;13;6
Пн, 14 июня ;2:31 ;22:11 ;12:21 ;19:40:39 ;Jun;14;6
Вт, 15 июня ;2:30 ;22:12 ;12:21 ;19:42:09 ;Jun;15;6
Ср, 16 июня ;2:30 ;22:13 ;12:21 ;19:43:25 ;Jun;16;6
Чт, 17 июня ;2:29 ;22:14 ;12:21 ;19:44:29 ;Jun;17;6
Пт, 18 июня ;2:29 ;22:14 ;12:22 ;19:45:17 ;Jun;18;6
Сб, 19 июня ;2:29 ;22:15 ;12:22 ;19:45:53 ;Jun;19;6
Вс, 20 июня ;2:29 ;22:15 ;12:22 ;19:46:14 ;Jun;20;6
Пн, 21 июня ;2:29 ;22:16 ;12:22 ;19:46:21 ;Jun;21;6
Вт, 22 июня ;2:29 ;22:16 ;12:23 ;19:46:14 ;Jun;22;6
Ср, 23 июня ;2:30 ;22:16 ;12:23 ;19:45:53 ;Jun;23;6
Чт, 24 июня ;2:30 ;22:16 ;12:23 ;19:45:17 ;Jun;24;6
Пт, 25 июня ;2:31 ;22:15 ;12:23 ;19:44:28 ;Jun;25;6
Сб, 26 июня ;2:32 ;22:15 ;12:23 ;19:43:24 ;Jun;26;6
Вс, 27 июня ;2:33 ;22:15 ;12:24 ;19:42:08 ;Jun;27;6
Пн, 28 июня ;2:34 ;22:14 ;12:24 ;19:40:38 ;Jun;28;6
Вт, 29 июня ;2:35 ;22:14 ;12:24 ;19:38:55 ;Jun;29;6
Ср, 30 июня ;2:36 ;22:13 ;12:24 ;19:37:00 ;Jun;30;6
Чт, 1 июля ;2:37 ;22:12 ;12:24 ;19:34:51 ;Jul;1;7
Пт, 2 июля ;2:38 ;22:11 ;12:25 ;19:32:30 ;Jul;2;7
Сб, 3 июля ;2:40 ;22:10 ;12:25 ;19:29:58 ;Jul;3;7
Вс, 4 июля ;2:41 ;22:09 ;12:25 ;19:27:15 ;Jul;4;7
Пн, 5 июля ;2:43 ;22:07 ;12:25 ;19:24:21 ;Jul;5;7
Вт, 6 июля ;2:45 ;22:06 ;12:25 ;19:21:16 ;Jul;6;7
Ср, 7 июля ;2:46 ;22:05 ;12:26 ;19:18:01 ;Jul;7;7
Чт, 8 июля ;2:48 ;22:03 ;12:26 ;19:14:36 ;Jul;8;7
Пт, 9 июля ;2:50 ;22:01 ;12:26 ;19:11:02 ;Jul;9;7
Сб, 10 июля ;2:52 ;22:00 ;12:26 ;19:07:20 ;Jul;10;7
Вс, 11 июля ;2:54 ;21:58 ;12:26 ;19:03:28 ;Jul;11;7
Пн, 12 июля ;2:56 ;21:56 ;12:26 ;18:59:30 ;Jul;12;7
Вт, 13 июля ;2:59 ;21:54 ;12:26 ;18:55:23 ;Jul;13;7
Ср, 14 июля ;3:01 ;21:52 ;12:26 ;18:51:09 ;Jul;14;7
Чт, 15 июля ;3:03 ;21:50 ;12:27 ;18:46:48 ;Jul;15;7
Пт, 16 июля ;3:05 ;21:48 ;12:27 ;18:42:22 ;Jul;16;7
Сб, 17 июля ;3:08 ;21:46 ;12:27 ;18:37:48 ;Jul;17;7
Вс, 18 июля ;3:10 ;21:43 ;12:27 ;18:33:10 ;Jul;18;7
Пн, 19 июля ;3:13 ;21:41 ;12:27 ;18:28:25 ;Jul;19;7
Вт, 20 июля ;3:15 ;21:39 ;12:27 ;18:23:36 ;Jul;20;7
Ср, 21 июля ;3:18 ;21:36 ;12:27 ;18:18:42 ;Jul;21;7
Чт, 22 июля ;3:20 ;21:34 ;12:27 ;18:13:43 ;Jul;22;7
Пт, 23 июля ;3:23 ;21:31 ;12:27 ;18:08:40 ;Jul;23;7
Сб, 24 июля ;3:25 ;21:29 ;12:27 ;18:03:33 ;Jul;24;7
Вс, 25 июля ;3:28 ;21:26 ;12:27 ;17:58:23 ;Jul;25;7
Пн, 26 июля ;3:31 ;21:24 ;12:27 ;17:53:09 ;Jul;26;7
Вт, 27 июля ;3:33 ;21:21 ;12:27 ;17:47:51 ;Jul;27;7
Ср, 28 июля ;3:36 ;21:18 ;12:27 ;17:42:31 ;Jul;28;7
Чт, 29 июля ;3:39 ;21:16 ;12:27 ;17:37:08 ;Jul;29;7
Пт, 30 июля ;3:41 ;21:13 ;12:27 ;17:31:43 ;Jul;30;7
Сб, 31 июля ;3:44 ;21:10 ;12:27 ;17:26:15 ;Jul;31;7
Вс, 1 августа ;3:47 ;21:07 ;12:27 ;17:20:45 ;Aug;1;8
Пн, 2 августа ;3:49 ;21:04 ;12:27 ;17:15:12 ;Aug;2;8
Вт, 3 августа ;3:52 ;21:02 ;12:27 ;17:09:38 ;Aug;3;8
Ср, 4 августа ;3:55 ;20:59 ;12:27 ;17:04:02 ;Aug;4;8
Чт, 5 августа ;3:57 ;20:56 ;12:27 ;16:58:25 ;Aug;5;8
Пт, 6 августа ;4:00 ;20:53 ;12:26 ;16:52:45 ;Aug;6;8
Сб, 7 августа ;4:03 ;20:50 ;12:26 ;16:47:04 ;Aug;7;8
Вс, 8 августа ;4:06 ;20:47 ;12:26 ;16:41:23 ;Aug;8;8
Пн, 9 августа ;4:08 ;20:44 ;12:26 ;16:35:40 ;Aug;9;8
Вт, 10 августа ;4:11 ;20:41 ;12:26 ;16:29:55 ;Aug;10;8
Ср, 11 августа ;4:14 ;20:38 ;12:26 ;16:24:10 ;Aug;11;8
Чт, 12 августа ;4:16 ;20:35 ;12:26 ;16:18:24 ;Aug;12;8
Пт, 13 августа ;4:19 ;20:32 ;12:25 ;16:12:37 ;Aug;13;8
Сб, 14 августа ;4:22 ;20:29 ;12:25 ;16:06:51 ;Aug;14;8
Вс, 15 августа ;4:25 ;20:26 ;12:25 ;16:01:02 ;Aug;15;8
Пн, 16 августа ;4:27 ;20:22 ;12:25 ;15:55:13 ;Aug;16;8
